YMR056C	AAC1
YMR195W	YMR195W
YPL250C	YPL250C
YNL037C	YNL037C
YOR136W	YOR136W
YPL117C	YPL117C
YPL117C	BOT2
YPL117C	LPH10
YDL066W	YDL066W
YLR174W	YLR174W
YNL009W	YNL009W
YJL146W	YJL146W
YFL013C	YFL013C
YNL215W	YNL215W
YLR052W	YLR052W
YOR189W	YOR189W
YER092W	YER092W
YEL044W	YEL044W
YBR159W	YBR159W
YLR223C	YLR223C
YOL023W	YOL023W
YNL157W	YNL157W
YHR132W-A	YHR132W-A
YHR187W	YHR187W
YHR187W	ELP5
YHR187W	HAP2
YHR187W	TOT5
YLR384C	YLR384C
YLR384C	ELP1
YLR384C	KTI7
YLR384C	TOT1
YJL057C	YJL057C
YJR118C	YJR118C
YBL076C	YBL076C
YER086W	YER086W
YER086W	ISO1
YMR108W	YMR108W
YMR108W	SMR1
YMR108W	THI1
YJR016C	YJR016C
YLR355C	YLR355C
YCL009C	YCL009C
YAR073W	YAR073W
YHR216W	YHR216W
YHR216W	PUR5
YLR432W	YLR432W
YML056C	YML056C
YJR094C	YJR094C
YJL106W	YJL106W
YJL106W	SME1
YGL192W	YGL192W
YGL192W	SPO8
YCR046C	YCR046C
YCR071C	YCR071C
YLR309C	YLR309C
YLR309C	SYS3
YJR138W	YJR138W
YJL082W	YJL082W
YBR107C	YBR107C
YBR107C	MCM19
YMR150C	YMR150C
YMR150C	PET-TS2858
YMR035W	YMR035W
YIL154C	YIL154C
YIL154C	IMP2
YHR148W	YHR148W
YNL075W	YNL075W
YDL181W	YDL181W
YHR046C	YHR046C
YDR287W	YDR287W
YNL152W	YNL152W
YJL153C	YJL153C
YJL153C	APR1
YDR123C	YDR123C
YDR123C	DIE1
YDR123C	SCS1
YOL108C	YOL108C
YGL150C	YGL150C
YMR204C	YMR204C
YMR163C	YMR163C
YIL002C	YIL002C
YIL002C	SJL1
YNL106C	YNL106C
YNL106C	SJL2
YOR109W	YOR109W
YOR109W	SJL3
YOR109W	SOP2
YOL065C	YOL065C
YLR095C	YLR095C
YFR013W	YFR013W
YMR044W	YMR044W
YHR085W	YHR085W
YNL182C	YNL182C
YDR315C	YDR315C
YDR315C	GSL1
YPL209C	YPL209C
YPL209C	PAC15
YBR011C	YBR011C
YBR011C	PPA1
YDR072C	YDR072C
YDR072C	KTI6
YDR072C	SYR4
YPL242C	YPL242C
YPL242C	CYK1
YBR140C	YBR140C
YBR140C	GLC1
YBR140C	PPD1
YOL081W	YOL081W
YOL081W	CCS1
YOL081W	GLC4
YOL015W	YOL015W
YOR013W	YOR013W
YOR235W	YOR235W
YOR135C	YOR135C
YPL017C	YPL017C
YPR038W	YPR038W
YJL037W	YJL037W
YLL033W	YLL033W
YLL033W	GON2
YDR112W	YDR112W
YLR247C	YLR247C
YMR073C	YMR073C
YEL001C	YEL001C
YOR044W	YOR044W
YIR036C	YIR036C
YLR021W	YLR021W
YLR021W	DMP2
YLR021W	PBA3
YLR021W	POC3
YDR332W	YDR332W
YDR540C	YDR540C
YFR038W	YFR038W
YFR043C	YFR043C
YFR055W	YFR055W
YJL051W	YJL051W
YJL142C	YJL142C
YHR079C	YHR079C
YHR079C	ERN1
YIL026C	YIL026C
YIL026C	SCC3
YKR019C	YKR019C
YLL027W	YLL027W
YPR067W	YPR067W
YER019W	YER019W
YER180C	YER180C
YER048W-A	YER048W-A
YMR081C	YMR081C
YMR081C	MBR3
YPL040C	YPL040C
YOR155C	YOR155C
YPR106W	YPR106W
YNL265C	YNL265C
YBR086C	YBR086C
YIR005W	YIR005W
YIR005W	SNU17
YPL135W	YPL135W
YPL135W	NUA1
YOR226C	YOR226C
YOR226C	NUA2
YBR245C	YBR245C
YBR245C	SGN2
YOR304W	YOR304W
YJR050W	YJR050W
YJR050W	NTC30
YJR050W	UTR3
YGL133W	YGL133W
YDR497C	YDR497C
YOL103W	YOL103W
YOL103W	HRB612
YML068W	YML068W
YDR229W	YDR229W
YDL115C	YDL115C
YKL032C	YKL032C
YKL032C	ORD1
YDR492W	YDR492W
YOL002C	YOL002C
YOL002C	PHO36
YLR023C	YLR023C
YOL101C	YOL101C
YGL018C	YGL018C
YJL073W	YJL073W
YJL073W	KAR8
YKL217W	YKL217W
YER051W	YER051W
YJR119C	YJR119C
YJR119C	KDM5
YPR061C	YPR061C
YLR331C	YLR331C
YDR475C	YDR475C
YDR475C	YDR474C
YPR169W	YPR169W
YNL227C	YNL227C
YJL162C	YJL162C
YJR097W	YJR097W
YJR097W	DPH4
YLL057C	YLL057C
YMR132C	YMR132C
YMR294W	YMR294W
YMR294W	INS1
YMR294W	PAC3
YJR091C	YJR091C
YJR091C	PUF1
YKR038C	YKR038C
YBR017C	YBR017C
YGL241W	YGL241W
YPL125W	YPL125W
YGL016W	YGL016W
YGL016W	PDR6
YER110C	YER110C
YER110C	YRB4
YLR347C	YLR347C
YLR347C	RSL1
YNL188W	YNL188W
YJL034W	YJL034W
YJL034W	GRP78
YPR141C	YPR141C
YPR141C	OSR11
YCL055W	YCL055W
YMR065W	YMR065W
YMR065W	FIG3
YPL269W	YPL269W
YCL024W	YCL024W
YDR017C	YDR017C
YFR042W	YFR042W
YDR367W	YDR367W
YHR158C	YHR158C
YGR238C	YGR238C
YPL263C	YPL263C
YGL173C	YGL173C
YGL173C	DST2
YGL173C	RAR5
YGL173C	SEP1
YGL173C	SKI1
YGL173C	XRN1
YPL145C	YPL145C
YPL145C	BSR3
YPL145C	LPI3
YPL145C	OSH4
YGL203C	YGL203C
YNL238W	YNL238W
YNL238W	QDS1
YNL238W	SRB1
YNL238W	VMA45
YIL125W	YIL125W
YIL125W	OGD1
YDR148C	YDR148C
YJL094C	YJL094C
YHR102W	YHR102W
YHR102W	NRK1
YDR122W	YDR122W
YLR096W	YLR096W
YDL108W	YDL108W
YAR018C	YAR018C
YAR018C	FUN52
YAR018C	NPK1
YOR233W	YOR233W
YOR233W	KIN3
YOR233W	KIN31
YCR091W	YCR091W
YBL063W	YBL063W
YBL063W	CIN9
YPL155C	YPL155C
YGL216W	YGL216W
YKL168C	YKL168C
YDL049C	YDL049C
YLL019C	YLL019C
YLL019C	L124
YHR186C	YHR186C
YHR186C	LAS24
YNL322C	YNL322C
YGR166W	YGR166W
YGR166W	TRS65
YDR483W	YDR483W
YDR483W	MNT1
YIL027C	YIL027C
YER038C	YER038C
YNL132W	YNL132W
YOR336W	YOR336W
YPR159W	YPR159W
YPR159W	CWH48
YJL174W	YJL174W
YNL308C	YNL308C
YCL059C	YCL059C
YDR037W	YDR037W
YDR037W	GCD5
YHR082C	YHR082C
YGR040W	YGR040W
YBL071W-A	YBL071W-A
YBL071W-A	DPH3
YKL110C	YKL110C
YKL110C	TOT4
YOR099W	YOR099W
YKR061W	YKR061W
YBR205W	YBR205W
YBR199W	YBR199W
YNL029C	YNL029C
YPL053C	YPL053C
YPL053C	MNN6
YIL085C	YIL085C
YJL207C	YJL207C
YKL008C	YKL008C
YKL008C	DGT1
YHL003C	YHL003C
YOL025W	YOL025W
YOL025W	ECM36
YNL239W	YNL239W
YNL239W	BLH1
YNL239W	GAL6
YNL239W	YCP1
YKL103C	YKL103C
YKL103C	APE1
YKL103C	API
YKL103C	YSC1
YKR063C	YKR063C
YOR181W	YOR181W
YOR181W	BEE1
YJL062W	YJL062W
YJL062W	GPI7
YNL071W	YNL071W
YNL071W	ODP2
YNL071W	PDA2
YMR296C	YMR296C
YMR296C	END8
YMR296C	TSC2
YDR062W	YDR062W
YDR062W	SCS1
YDR062W	TSC1
YJL134W	YJL134W
YJL134W	LBP1
YJL134W	YSR2
YOR171C	YOR171C
YLR260W	YLR260W
YDR499W	YDR499W
YDR499W	DDC2
YDR499W	PIE1
YER127W	YER127W
YCL005W	YCL005W
YDL146W	YDL146W
YLL049W	YLL049W
YOR322C	YOR322C
YBL006C	YBL006C
YBL006C	RSC14
YPL213W	YPL213W
YPL054W	YPL054W
YNL323W	YNL323W
YNL323W	BRE3
YNL323W	ROS3
YOR123C	YOR123C
YGL009C	YGL009C
YCL018W	YCL018W
YLR451W	YLR451W
YNL104C	YNL104C
YHR002W	YHR002W
YOR108W	YOR108W
YPL055C	YPL055C
YDL051W	YDL051W
YDL051W	LAH1
YDL051W	YLA1
YKL073W	YKL073W
YKL073W	CER1
YKL073W	SSI1
YJR070C	YJR070C
YJR070C	MMD1
YGL090W	YGL090W
YHR156C	YHR156C
YHR156C	SNU40
YMR298W	YMR298W
YLR239C	YLR239C
YOR196C	YOR196C
YFR001W	YFR001W
YJL038C	YJL038C
YKL205W	YKL205W
YKL183W	YKL183W
YLR011W	YLR011W
YFL018C	YFL018C
YFL018C	HPD1
YPL060W	YPL060W
YDR503C	YDR503C
YOR084W	YOR084W
YDL237W	YDL237W
YIL087C	YIL087C
YKL207W	YKL207W
YOR205C	YOR205C
YOR205C	FMP38
YMR293C	YMR293C
YCL051W	YCL051W
YDL240W	YDL240W
YNR008W	YNR008W
YHR081W	YHR081W
YHR081W	RRP47
YHR081W	YC1D
YDR439W	YDR439W
YGR136W	YGR136W
YFR024C-A	YFR024C-A
YFR024C-A	YFR024C
YCL034W	YCL034W
YJL100W	YJL100W
YOR142W	YOR142W
YGR244C	YGR244C
YGL099W	YGL099W
YGL099W	KRE35
YJL124C	YJL124C
YJL124C	SPB8
YHR121W	YHR121W
YBL026W	YBL026W
YBL026W	SMX5
YBL026W	SNP3
YLR438C-A	YLR438C-A
YLR438C-A	SMX4
YLR438C-A	USS2
YER112W	YER112W
YER112W	SDB23
YER112W	USS1
YER146W	YER146W
YDR378C	YDR378C
YNL147W	YNL147W
YJR022W	YJR022W
YPL004C	YPL004C
YKL176C	YKL176C
YGR057C	YGR057C
YNL006W	YNL006W
YAL024C	YAL024C
YAL024C	MSI2
YPR073C	YPR073C
YKL143W	YKL143W
YKL143W	YKL2
YDL087C	YDL087C
YDL087C	EPE1
YDL087C	EXM2
YCR087C-A	YCR087C-A
YNL268W	YNL268W
YIR034C	YIR034C
YIL094C	YIL094C
YIL094C	LYS10
YIL094C	LYS11
YDR034C	YDR034C
YBR115C	YBR115C
YDL182W	YDL182W
YDL131W	YDL131W
YDR234W	YDR234W
YDR234W	LYS3
YGL154C	YGL154C
YNR050C	YNR050C
YNR050C	LYS13
YMR021C	YMR021C
YMR021C	CUA1
YGL086W	YGL086W
YJL030W	YJL030W
YJL013C	YJL013C
YKL029C	YKL029C
YDR005C	YDR005C
YER142C	YER142C
YER142C	MMS5
YLR427W	YLR427W
YEL053C	YEL053C
YKL021C	YKL021C
YAL025C	YAL025C
YDR060W	YDR060W
YDR060W	NOC1
YPR051W	YPR051W
YCR020C-A	YCR020C-A
YCR020C-A	LSM9
YCR020C-A	SMX1
YCR019W	YCR019W
YBR142W	YBR142W
YGR289C	YGR289C
YGR289C	AGT1
YGR289C	MALT
YGR292W	YGR292W
YGR292W	MALS
YGR288W	YGR288W
YGR288W	MALR
YBR298C	YBR298C
YBR298C	MAL3T
YBR298C	MALT
YBR299W	YBR299W
YBR299W	MAL3S
YBR299W	MALS
YBR297W	YBR297W
YBR297W	MAL3R
YBR297W	MALR
YER106W	YER106W
YOL060C	YOL060C
YIL070C	YIL070C
YLR244C	YLR244C
YBL091C	YBL091C
YLR163C	YLR163C
YLR163C	MIF1
YHR024C	YHR024C
YHR024C	MIF2
YCR040W	YCR040W
YCR040W	ALPHA1
YCR039C	YCR039C
YCR039C	ALPHA2
YBR185C	YBR185C
YJL199C	YJL199C
YOR298C-A	YOR298C-A
YOR298C-A	SUF13
YDL056W	YDL056W
YKL093W	YKL093W
YOR197W	YOR197W
YOR197W	YCA1
YDL003W	YDL003W
YDL003W	PDS3
YDL003W	RHC21
YDL003W	SCC1
YKL165C	YKL165C
YKL165C	FSR2
YKL165C	SSU21
YKL165C	ZRG16
YDL054C	YDL054C
YKL221W	YKL221W
YOL119C	YOL119C
YOR306C	YOR306C
YNL307C	YNL307C
YNL307C	YPK1
YMR043W	YMR043W
YMR043W	FUN80
YIL150C	YIL150C
YIL150C	DNA43
YPR046W	YPR046W
YBL023C	YBL023C
YDR318W	YDR318W
YDR318W	CTF5
YJR135C	YJR135C
YEL032W	YEL032W
YPR019W	YPR019W
YPR019W	CDC54
YPR019W	HCD21
YLR274W	YLR274W
YLR274W	BOB1
YLR274W	CDC46
YGL201C	YGL201C
YBR202W	YBR202W
YBR202W	CDC47
YKL150W	YKL150W
YOR221C	YOR221C
YBR227C	YBR227C
YJR024C	YJR024C
YNL173C	YNL173C
YKL085W	YKL085W
YOL126C	YOL126C
YDL078C	YDL078C
YFL016C	YFL016C
YNL328C	YNL328C
YLR188W	YLR188W
YPL270W	YPL270W
YML104C	YML104C
YAL010C	YAL010C
YAL010C	FUN37
YOL009C	YOL009C
YOL076W	YOL076W
YOL076W	DEC1
YLR368W	YLR368W
YLR368W	DSG1
YHR194W	YHR194W
YOR147W	YOR147W
YGL219C	YGL219C
YGL219C	MMM2
YKL053C-A	YKL053C-A
YPR083W	YPR083W
YOL027C	YOL027C
YOL027C	MKH1
YLR106C	YLR106C
YLR106C	REA1
YGR100W	YGR100W
YGR100W	GYP2
YGR100W	MIC1
YGL197W	YGL197W
YJL112W	YJL112W
YJL112W	FIS2
YJL112W	GAG3
YJL112W	NET2
YOL111C	YOL111C
YOL111C	TMA24
YBR136W	YBR136W
YBR136W	ESR1
YBR136W	SAD3
YLR288C	YLR288C
YLR288C	PIP3
YLR288C	PSO9
YPR070W	YPR070W
YMR112C	YMR112C
YDL005C	YDL005C
YOR174W	YOR174W
YHR058C	YHR058C
YOL135C	YOL135C
YBR193C	YBR193C
YLR069C	YLR069C
YJL102W	YJL102W
YKR007W	YKR007W
YKR007W	EGO1
YKR007W	GSE2
YER044C-A	YER044C-A
YPL121C	YPL121C
YPL121C	LPH6
YOR351C	YOR351C
YOR351C	MRE4
YGR121C	YGR121C
YGR121C	AMT1
YNL142W	YNL142W
YPR138C	YPR138C
YNL210W	YNL210W
YGR264C	YGR264C
YGR264C	MESI
YKR069W	YKR069W
YKR069W	MET20
YFR030W	YFR030W
YPL023C	YPL023C
YGL125W	YGL125W
YGL125W	MET11
YGL125W	MRPL45
YKL001C	YKL001C
YPR167C	YPR167C
YLR303W	YLR303W
YLR303W	MET15
YLR303W	MET25
YIL128W	YIL128W
YIL128W	MMS19
YNL277W	YNL277W
YOL064C	YOL064C
YOL064C	HAL2
YIR017C	YIR017C
YJR010W	YJR010W
YIL046W	YIL046W
YIL046W	ZRG11
YPL038W	YPL038W
YDR253C	YDR253C
YNL103W	YNL103W
YER091C	YER091C
YOR241W	YOR241W
YOR241W	MET23
YBR213W	YBR213W
YLR017W	YLR017W
YPL169C	YPL169C
YPL187W	YPL187W
YGL089C	YGL089C
YDR461W	YDR461W
YNL145W	YNL145W
YDR219C	YDR219C
YML062C	YML062C
YML062C	MFT52
YGR249W	YGR249W
YIR033W	YIR033W
YOR232W	YOR232W
YOR232W	GRPE
YOR232W	YGE1
YOR211C	YOR211C
YOR211C	MNA1
YJR144W	YJR144W
YJR144W	MGM9
YCL044C	YCL044C
YPL098C	YPL098C
YNL218W	YNL218W
YDL200C	YDL200C
YDL200C	MGMT
YJL042W	YJL042W
YDR296W	YDR296W
YDR296W	XTC1
YLL062C	YLL062C
YKL195W	YKL195W
YKL195W	FMP15
YKL195W	TIM40
YDR031W	YDR031W
YMR002W	YMR002W
YNL291C	YNL291C
YLR332W	YLR332W
YLR332W	KAI1
YKL089W	YKL089W
YGL035C	YGL035C
YGL035C	CAT4
YGL035C	SSN1
YGL035C	TDS22
YGL209W	YGL209W
YGL209W	MLZ1
YER028C	YER028C
YMR036C	YMR036C
YOL026C	YOL026C
YOL026C	TOM13
YOR330C	YOR330C
YHR015W	YHR015W
YJR077C	YJR077C
YBR084W	YBR084W
YDR144C	YDR144C
YDR144C	YPS2
YOR231W	YOR231W
YOR231W	SSP32
YPL140C	YPL140C
YPL140C	LPI6
YPL140C	SSP33
YNL076W	YNL076W
YNL076W	LYS80
YNL085W	YNL085W
YGL106W	YGL106W
YPR188C	YPR188C
YNL074C	YNL074C
YNL074C	YMK1
YMR167W	YMR167W
YMR167W	PMS2
YLR035C	YLR035C
YPL164C	YPL164C
YKR095W	YKR095W
YKR095W	MPL1
YIL149C	YIL149C
YNL117W	YNL117W
YIL051C	YIL051C
YIL051C	IBM1
YLL006W	YLL006W
YLL006W	YME6
YLL061W	YLL061W
YLR190W	YLR190W
YPR164W	YPR164W
YPR164W	RTT108
YPR164W	SLM6
YGL087C	YGL087C
YEL019C	YEL019C
YEL019C	NSE2
YLR320W	YLR320W
YLR320W	SLM2
YBR098W	YBR098W
YBR098W	SLX2
YBR098W	YBR100W
YMR177W	YMR177W
YPL224C	YPL224C
YPL224C	MFT2
YGL183C	YGL183C
YIR025W	YIR025W
YOR350C	YOR350C
YIL110W	YIL110W
YPR045C	YPR045C
YHR204W	YHR204W
YHR204W	HTM1
YER001W	YER001W
YDR245W	YDR245W
YDR245W	BED1
YDR245W	REC41
YDR245W	SLC2
YJL183W	YJL183W
YBR015C	YBR015C
YBR015C	CRV4
YBR015C	LDB8
YBR015C	TTP1
YKL201C	YKL201C
YKL201C	YKL200C
YJL186W	YJL186W
YPL050C	YPL050C
YGL068W	YGL068W
YKL064W	YKL064W
YJR131W	YJR131W
YGL257C	YGL257C
YIL014W	YIL014W
YNR059W	YNR059W
YIL106W	YIL106W
YFL034C-B	YFL034C-B
YFL034C-B	YFL035C
YFL034C-B	YFL035C-A
YOR274W	YOR274W
YJR074W	YJR074W
YBL049W	YBL049W
YGL124C	YGL124C
YGL124C	AUT12
YNL297C	YNL297C
YNL297C	YSL2
YPL082C	YPL082C
YPL082C	BTAF1
YPL082C	BUR3
YPL082C	LPF4
YER068W	YER068W
YER068W	NOT4
YER068W	SIG1
YMR070W	YMR070W
YMR070W	ROX7
YNL249C	YNL249C
YOR177C	YOR177C
YOR288C	YOR288C
YOL088C	YOL088C
YKL059C	YKL059C
YIR002C	YIR002C
YDL247W	YDL247W
YJR160C	YJR160C
YJL066C	YJL066C
YJR002W	YJR002W
YDL028C	YDL028C
YDL028C	RPK1
YGL075C	YGL075C
YGL075C	MMC1
YJL019W	YJL019W
YJL019W	NEP98
YJL019W	YJL018W
YGL178W	YGL178W
YGL178W	HTR1
YGL178W	PUF5
YGL178W	UTH4
YCL061C	YCL061C
YCL061C	YCL060C
YPR112C	YPR112C
YMR224C	YMR224C
YMR224C	NGS1
YMR224C	RAD58
YMR224C	XRS4
YGL143C	YGL143C
YDR033W	YDR033W
YGL064C	YGL064C
YPR118W	YPR118W
YDL079C	YDL079C
YPR079W	YPR079W
YOR201C	YOR201C
YOR201C	PET56
YGL136C	YGL136C
YPL184C	YPL184C
YDR347W	YDR347W
YDL045W-A	YDL045W-A
YGR084C	YGR084C
YKL003C	YKL003C
YPR166C	YPR166C
YDR405W	YDR405W
YDR405W	MRPL41
YBL090W	YBL090W
YBL090W	MRP50
YHL004W	YHL004W
YKL167C	YKL167C
YPL118W	YPL118W
YNL005C	YNL005C
YNL005C	MRPL2
YKL142W	YKL142W
YKL142W	YKL3
YDR116C	YDR116C
YNL284C	YNL284C
YNL284C	MRPL18
YDL202W	YDL202W
YKR006C	YKR006C
YKR006C	YK105
YLR312W-A	YLR312W-A
YBL038W	YBL038W
YNL252C	YNL252C
YNL252C	MRPL30
YNL185C	YNL185C
YKR085C	YKR085C
YNL177C	YNL177C
YOR150W	YOR150W
YMR193W	YMR193W
YMR193W	MRPL14
YGR076C	YGR076C
YGR076C	YMR26
YBR282W	YBR282W
YDR462W	YDR462W
YMR024W	YMR024W
YKL138C	YKL138C
YCR003W	YCR003W
YMR286W	YMR286W
YDR322W	YDR322W
YBR122C	YBR122C
YBR268W	YBR268W
YKL170W	YKL170W
YKL170W	MRPL34
YML009C	YML009C
YLR439W	YLR439W
YPL173W	YPL173W
YMR225C	YMR225C
YMR225C	YMR44
YJL096W	YJL096W
YNR022C	YNR022C
YPR100W	YPR100W
YHR147C	YHR147C
YDR237W	YDR237W
YJL063C	YJL063C
YJL063C	HRD238
YGR220C	YGR220C
YPL013C	YPL013C
YMR188C	YMR188C
YNL306W	YNL306W
YDR337W	YDR337W
YGR165W	YGR165W
YBR251W	YBR251W
YMR158W	YMR158W
YBR146W	YBR146W
YIR021W	YIR021W
YIR021W	PET157
YHR005C-A	YHR005C-A
YHR005C-A	TIM10
YOR334W	YOR334W
YJL133W	YJL133W
YKR052C	YKR052C
YBR091C	YBR091C
YBR091C	TIM12
YOR370C	YOR370C
YOR370C	MSI4
YKL009W	YKL009W
YOR066W	YOR066W
YOR066W	YOR29-17
YKR077W	YKR077W
YOR188W	YOR188W
YGR014W	YGR014W
YNL293W	YNL293W
YNL293W	GYP3
YOL112W	YOL112W
YML128C	YML128C
YDR205W	YDR205W
YLR219W	YLR219W
YOR354C	YOR354C
YHR039C	YHR039C
YPL104W	YPL104W
YPL104W	LPG5
YOL033W	YOL033W
YPR047W	YPR047W
YNL053W	YNL053W
YHR120W	YHR120W
YOL090W	YOL090W
YOL090W	PMS5
YCR092C	YCR092C
YFL003C	YFL003C
YDL154W	YDL154W
YDR097C	YDR097C
YDR097C	PMS3
YBR195C	YBR195C
YBR195C	CAC3
YNL073W	YNL073W
YIR009W	YIR009W
YIR009W	YIB9
YIR009W	YIB9W
YLR116W	YLR116W
YGR171C	YGR171C
YOL116W	YOL116W
YOL116W	FUP1
YOL116W	HRB382
YOL116W	MSS10
YOL116W	PHD2
YMR037C	YMR037C
YKL062W	YKL062W
YDR335W	YDR335W
YDR335W	KAP142
YDR335W	STE21
YNR049C	YNR049C
YGR028W	YGR028W
YGR028W	YTA4
YHR091C	YHR091C
YMR023C	YMR023C
YMR023C	PET53
YMR164C	YMR164C
YDR194C	YDR194C
YPR134W	YPR134W
YDL107W	YDL107W
YDR208W	YDR208W
YLR203C	YLR203C
YKL194C	YKL194C
YGL051W	YGL051W
YAR033W	YAR033W
YDR268W	YDR268W
YPL097W	YPL097W
YJL123C	YJL123C
YKL098W	YKL098W
YGL226W	YGL226W
YBR255W	YBR255W
YDR128W	YDR128W
YHR151C	YHR151C
YEL033W	YEL033W
YKR080W	YKR080W
YMR228W	YMR228W
YDL044C	YDL044C
YDL044C	NAM1
YMR097C	YMR097C
YHR168W	YHR168W
YDR277C	YDR277C
YDR277C	BPC1
YDR277C	DGT1
YDR277C	HTR1
YGR023W	YGR023W
YGR257C	YGR257C
YGL236C	YGL236C
YGL236C	IPS1
YNL063W	YNL063W
YDR140W	YDR140W
YOR160W	YOR160W
YOR160W	KAP111
YKL186C	YKL186C
YGR158C	YGR158C
YJL050W	YJL050W
YJL050W	DOB1
YAL034W-A	YAL034W-A
YAL034W-A	DSN3
YAL034W-A	NSL2
YMR100W	YMR100W
YIR019C	YIR019C
YIR019C	FLO11
YIR019C	STA4
YBR119W	YBR119W
YKL074C	YKL074C
YPL070W	YPL070W
YBR057C	YBR057C
YBR057C	SPOT8
YOR298W	YOR298W
YGR055W	YGR055W
YHL036W	YHL036W
YGR007W	YGR007W
YGR007W	ECT1
YDR386W	YDR386W
YDR386W	SLX3
YGR206W	YGR206W
YNR043W	YNR043W
YNR043W	ERG19
YMR004W	YMR004W
YER042W	YER042W
YER042W	MSRA
YHR023W	YHR023W
YOR326W	YOR326W
YOR326W	CDC66
YKL129C	YKL129C
YAL029C	YAL029C
YAL029C	FUN22
YAL029C	SHE1
YMR109W	YMR109W
YGL122C	YGL122C
YPL190C	YPL190C
YPL190C	HMD1
YML117W	YML117W
YNL124W	YNL124W
YGR031C-A	YGR031C-A
YLR382C	YLR382C
YLR382C	MSL1
YMR080C	YMR080C
YMR080C	IFS2
YMR080C	MOF4
YMR080C	UPF1
YHR086W	YHR086W
YHR086W	MRE2
YHR086W	MUD15
YNL137C	YNL137C
YNL137C	MNA6
YPL126W	YPL126W
YPL126W	UTP17
YKR048C	YKR048C
YNL240C	YNL240C
YIL007C	YIL007C
YGR232W	YGR232W
YDL040C	YDL040C
YDL040C	AAA1
YGR147C	YGR147C
YPR131C	YPR131C
YMR069W	YMR069W
YOR253W	YOR253W
YOR253W	ARD2
YOR253W	ROG2
YOL070C	YOL070C
YLR457C	YLR457C
YDR162C	YDR162C
YGL091C	YGL091C
YPR155C	YPR155C
YJL116C	YJL116C
YDR397C	YDR397C
YDR397C	YDR1
YJL205C	YJL205C
YJL205C	NCE1
YJL205C	YJL205C-A
YJL205C	YJL206C-A
YPR149W	YPR149W
YPR149W	NCE2
YNL036W	YNL036W
YNL036W	NCE3
YBL024W	YBL024W
YBL024W	TRM4
YHR042W	YHR042W
YHR042W	CPR1
YPL006W	YPL006W
YNL119W	YNL119W
YGL211W	YGL211W
YGL211W	TUC1
YGL211W	YGL210W-A
YML031W	YML031W
YOR372C	YOR372C
YMR145C	YMR145C
YMR145C	NDH1
YDL085W	YDL085W
YDL085W	NDH2
YML120C	YML120C
YOL104C	YOL104C
YOL104C	TAM1
YLR254C	YLR254C
YHR124W	YHR124W
YLR265C	YLR265C
YLR265C	LIF2
YHR004C	YHR004C
YIL048W	YIL048W
YJL076W	YJL076W
YJL076W	CFI1
YJL076W	ESC5
YJL076W	SRM8
YPL226W	YPL226W
YOR156C	YOR156C
YOR156C	SIZ2
YCL017C	YCL017C
YCL017C	SPL1
YKR103W	YKR103W
YKL040C	YKL040C
YKL040C	NUB1
YDR176W	YDR176W
YDR176W	ADA3
YDR176W	SWI7
YOL042W	YOL042W
YMR285C	YMR285C
YML118W	YML118W
YBR212W	YBR212W
YBR212W	RBP1
YLR138W	YLR138W
YDL002C	YDL002C
YDL002C	HMO2
YDL208W	YDL208W
YPR052C	YPR052C
YBR089C-A	YBR089C-A
YBR089C-A	YBR090C-A
YDR456W	YDR456W
YDR456W	NHA2
YDR456W	VPL27
YDR456W	VPS44
YFR002W	YFR002W
YGL221C	YGL221C
YMR309C	YMR309C
YPL174C	YPL174C
YPL174C	PAC13
YPL211W	YPL211W
YNL078W	YNL078W
YNL078W	JIP1
YIL164C	YIL164C
YJL126W	YJL126W
YLR351C	YLR351C
YDR383C	YDR383C
YLR315W	YLR315W
YLR328W	YLR328W
YNL123W	YNL123W
YNL123W	YNM3
YGR010W	YGR010W
YHR077C	YHR077C
YHR077C	IFS1
YHR077C	SUA1
YHR077C	UPF2
YHR170W	YHR170W
YHR170W	SRC5
YLR363C	YLR363C
YJR132W	YJR132W
YJR132W	KAP119
YLR195C	YLR195C
YLR195C	CDC72
YJR112W	YJR112W
YGR089W	YGR089W
YLR285W	YLR285W
YOR056C	YOR056C
YOR056C	YOR29-07
YOR206W	YOR206W
YLR002C	YLR002C
YPR144C	YPR144C
YPR144C	UTP19
YPL093W	YPL093W
YNR053C	YNR053C
YDL014W	YDL014W
YDL014W	LOT3
YHR072W-A	YHR072W-A
YOL041C	YOL041C
YNL175C	YNL175C
YDL148C	YDL148C
YDL148C	UTP2
YNL110C	YNL110C
YER002W	YER002W
YNL061W	YNL061W
YNL061W	YNA1
YPL043W	YPL043W
YPL043W	NOP77
YPL146C	YPL146C
YPL146C	RRP16
YOR310C	YOR310C
YOR310C	NOP5
YDL213C	YDL213C
YGR103W	YGR103W
YGR103W	YPH1
YOL144W	YOL144W
YJL010C	YJL010C
YIL038C	YIL038C
YPR072W	YPR072W
YJR072C	YJR072C
YJR072C	EPA1
YDL046W	YDL046W
YDR432W	YDR432W
YDR432W	MTR13
YDR432W	MTS1
YDR432W	NAB1
YDR432W	NOP3
YBR170C	YBR170C
YBR170C	HRD4
YMR091C	YMR091C
YMR091C	RSC7
YCR026C	YCR026C
YEL016C	YEL016C
YNL183C	YNL183C
YEL062W	YEL062W
YOR209C	YOR209C
YGL067W	YGL067W
YGR043C	YGR043C
